repetition,method,MISE,Time,M,n,graphon
0,JGS,0.0009202135814953571,0.03313446044921875,50,100,0
0,SIGL,0.0007415298962629802,34.744004011154175,50,100,0
0,SGWB,0.010221520210719273,0.514244794845581,50,100,0
0,SBA,0.06489699392438479,0.06100344657897949,50,100,0
0,SAS,0.07494849935921065,0.0075418949127197266,50,100,0
0,USVT,0.04536377079627751,0.004094839096069336,50,100,0
1,JGS,0.0006390296838360579,0.03447413444519043,50,100,0
1,SIGL,0.0015496976098781261,30.721067428588867,50,100,0
1,SGWB,0.014395087253743194,0.4917490482330322,50,100,0
1,SBA,0.04982177783025112,0.07488083839416504,50,100,0
1,SAS,0.07486547817496197,0.007677793502807617,50,100,0
1,USVT,0.04521304318771543,0.004306793212890625,50,100,0
2,JGS,0.0008838411288837479,0.032470703125,50,100,0
2,SIGL,0.0008116372336952426,28.031229734420776,50,100,0
2,SGWB,0.010547100975569539,0.4936997890472412,50,100,0
2,SBA,0.05232335628977087,0.0722503662109375,50,100,0
2,SAS,0.07530590018563091,0.0077457427978515625,50,100,0
2,USVT,0.04586538402594434,0.0041654109954833984,50,100,0
3,JGS,0.0005701502837422638,0.03294563293457031,50,100,0
3,SIGL,0.0010452284010171264,31.5912184715271,50,100,0
3,SGWB,0.009024917101199478,0.48009443283081055,50,100,0
3,SBA,0.06538792259787485,0.06149768829345703,50,100,0
3,SAS,0.07460627620978114,0.007454633712768555,50,100,0
3,USVT,0.045087602400762775,0.003685474395751953,50,100,0
4,JGS,0.0005890925112115935,0.032572031021118164,50,100,0
4,SIGL,0.0007072463866393567,30.367384672164917,50,100,0
4,SGWB,0.011787665432359883,0.4888794422149658,50,100,0
4,SBA,0.05436599353166369,0.07404971122741699,50,100,0
4,SAS,0.075170597111236,0.009788036346435547,50,100,0
4,USVT,0.045407601720598025,0.0037207603454589844,50,100,0
5,JGS,0.00040909126145023125,0.03295612335205078,50,100,0
5,SIGL,0.0006971992366893059,28.351311922073364,50,100,0
5,SGWB,0.012018814444961886,0.533820629119873,50,100,0
5,SBA,0.06585479528022238,0.10574960708618164,50,100,0
5,SAS,0.07511059059522172,0.020507335662841797,50,100,0
5,USVT,0.045370606877548056,0.004009246826171875,50,100,0
6,JGS,0.0007796853714483832,0.034436702728271484,50,100,0
6,SIGL,0.0007926870961159117,29.30675959587097,50,100,0
6,SGWB,0.012380297254751031,0.49506235122680664,50,100,0
6,SBA,0.053957583283405386,0.0741720199584961,50,100,0
6,SAS,0.07381338886351217,0.007632255554199219,50,100,0
6,USVT,0.044004777938205675,0.009887218475341797,50,100,0
7,JGS,0.0007540086337512471,0.040349483489990234,50,100,0
7,SIGL,0.002100995696289671,30.174863576889038,50,100,0
7,SGWB,0.013252299944700105,0.5107865333557129,50,100,0
7,SBA,0.06112464758792622,0.061086177825927734,50,100,0
7,SAS,0.07332247758449902,0.0075092315673828125,50,100,0
7,USVT,0.04270144947073279,0.004599809646606445,50,100,0
8,JGS,0.0008476783815616116,0.03260469436645508,50,100,0
8,SIGL,0.0018316405050622614,34.8919632434845,50,100,0
8,SGWB,0.01022199093403868,0.5441467761993408,50,100,0
8,SBA,0.05255056695361786,0.10815143585205078,50,100,0
8,SAS,0.0748877727684161,0.007540464401245117,50,100,0
8,USVT,0.04551744694964474,0.010163545608520508,50,100,0
9,JGS,0.0008425713896971102,0.03989052772521973,50,100,0
9,SIGL,0.0009070704929197203,32.08503293991089,50,100,0
9,SGWB,0.013953426231588432,0.5111846923828125,50,100,0
9,SBA,0.06554224713663256,0.06009840965270996,50,100,0
9,SAS,0.075643486586283,0.007832765579223633,50,100,0
9,USVT,0.04657723277294064,0.0045931339263916016,50,100,0
10,JGS,0.0009846391439129085,0.032682180404663086,50,100,0
10,SIGL,0.0015050793904298754,33.751933097839355,50,100,0
10,SGWB,0.01025671882884661,0.5094809532165527,50,100,0
10,SBA,0.06354213304482462,0.06017947196960449,50,100,0
10,SAS,0.07629376565378902,0.0075604915618896484,50,100,0
10,USVT,0.04754307999283327,0.00423121452331543,50,100,0
11,JGS,0.0006874718352457239,0.03162121772766113,50,100,0
11,SIGL,0.0014149162314962915,33.91924214363098,50,100,0
11,SGWB,0.012282888183687748,0.5114965438842773,50,100,0
11,SBA,0.05717615971309277,0.16468501091003418,50,100,0
11,SAS,0.0759066460787191,0.015776872634887695,50,100,0
11,USVT,0.04642725534008068,0.0053060054779052734,50,100,0
12,JGS,0.0007103474836207754,0.03307342529296875,50,100,0
12,SIGL,0.0011638978211621729,36.05524206161499,50,100,0
12,SGWB,0.01016631997090389,0.4891223907470703,50,100,0
12,SBA,0.052336889890661896,0.07848215103149414,50,100,0
12,SAS,0.07511053943072665,0.007900714874267578,50,100,0
12,USVT,0.04517422298087674,0.0037508010864257812,50,100,0
13,JGS,0.000816750131396508,0.033153533935546875,50,100,0
13,SIGL,0.0007107460487744561,30.9744393825531,50,100,0
13,SGWB,0.011741259874536891,0.48570847511291504,50,100,0
13,SBA,0.054481389576485864,0.07285642623901367,50,100,0
13,SAS,0.07568611514820743,0.011058568954467773,50,100,0
13,USVT,0.04639329758598627,0.00908041000366211,50,100,0
14,JGS,0.0008780375172534144,0.04203200340270996,50,100,0
14,SIGL,0.0008391575693644652,29.5524959564209,50,100,0
14,SGWB,0.011748345129375025,0.4892261028289795,50,100,0
14,SBA,0.06530093564811347,0.06255102157592773,50,100,0
14,SAS,0.07441212954891407,0.007356166839599609,50,100,0
14,USVT,0.04473012077614627,0.0038461685180664062,50,100,0
15,JGS,0.0007089988502993793,0.03151845932006836,50,100,0
15,SIGL,0.001058096136999671,29.97083854675293,50,100,0
15,SGWB,0.009881982727359457,0.48244690895080566,50,100,0
15,SBA,0.06813270612333176,0.09851670265197754,50,100,0
15,SAS,0.07522603318125115,0.007488727569580078,50,100,0
15,USVT,0.04621893338157383,0.003785848617553711,50,100,0
16,JGS,0.0007356693398711922,0.0328974723815918,50,100,0
16,SIGL,0.0013780170812091343,29.656890630722046,50,100,0
16,SGWB,0.011723281018686426,0.5055310726165771,50,100,0
16,SBA,0.0526049267817914,0.07330441474914551,50,100,0
16,SAS,0.07526502382638849,0.0076215267181396484,50,100,0
16,USVT,0.04565039399760594,0.004255056381225586,50,100,0
17,JGS,0.0006170212434431921,0.033664703369140625,50,100,0
17,SIGL,0.0010643648606594356,28.72573161125183,50,100,0
17,SGWB,0.013321063294106657,0.4987196922302246,50,100,0
17,SBA,0.06380874820575433,0.059235572814941406,50,100,0
